index,Winddir,Windspeed,Gust_Factor,visability,Condition,cloudCover,ceiling,temp,dew,alt,Conditions
0,300,5,0,10,0,0,0,-2,-9,3029,NP
1,260,14,0,10,0,0,0,3,-2,2981,NP
2,320,11,0,10,0,0,0,-17,-20,3022,NP
3,270,9,0,10,0,0,0,-8,-16,3026,NP
4,250,14,0,9,0,0,0,9,7,2963,NP
5,290,11,0,9,0,6,27,-3,-8,3004,NP
6,230,9,17,10,0,0,0,12,9,2979,NP
7,40,5,0,10,1.25,5,15,3,2,3032,NP
8,280,11,0,10,0,0,0,-9,-14,3010,NP
9,320,10,0,9,1.25,6,15,15,13,2993,NP
10,270,11,0,10,0,0,0,-9,-15,3012,NP
11,340,15,20,10,0,0,0,-1,-8,3014,NP
12,0,22,0,10,0,4,23,4,-1,2978,NP
13,220,10,0,10,0,5,26,15,13,2967,NP
14,250,10,0,10,0,6,24,9,7,2967,NP
15,270,9,0,10,0,0,0,-6,-10,3017,NP
16,330,13,0,10,0,0,0,-9,-14,3035,NP
17,290,7,0,10,0,0,0,-6,-10,2989,NP
18,300,14,19,10,0,0,0,-13,-17,2998,NP
19,310,7,0,9,3.25,7,18,-13,-16,3007,NP
20,280,11,0,0,3,8,14,-13,-17,2997,NP
21,250,14,0,10,0,0,0,1,-3,2994,NP
22,310,5,0,10,0,0,0,-12,-16,3010,NP
23,280,16,0,10,0,0,0,1,-2,2970,NP
24,0,14,0,4,1,7,9,6,4,3028,NP
25,180,5,0,10,0,7,30,7,6,2956,NP
26,360,4,0,10,0,0,0,6,-7,3038,NP
27,330,11,18,10,0,0,0,-5,-12,3029,NP
28,280,11,0,7,3.25,7,18,-13,-15,3003,NP
29,270,11,0,10,0,0,0,-11,-16,3013,NP
30,250,10,0,9,3.25,4,45,-2,-5,3012,NP
31,250,7,0,10,1.25,4,25,12,8,2977,NP
32,270,13,0,10,0,0,0,-10,-14,3010,NP
33,350,8,0,10,0,0,0,8,3,3004,NP
34,260,13,0,9,1.25,4,11,13,10,2967,NP
35,290,11,0,10,0,0,0,-1,-7,3014,NP
36,0,0,0,10,1.25,4,21,5,2,2982,NP
37,220,10,0,8,1.25,7,7,10,8,2980,NP
38,290,10,0,9,0,0,0,-11,-16,3013,NP
39,270,10,0,10,0,0,0,1,-4,2994,NP
